Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 120756 facts in 0.96 s using 180 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  http://dbpedia.org/ontology/country  ?b   => ?a  http://dbpedia.org/ontology/nationality  ?b	0.025454545	0.003009458	0.411764706	7	2326	17	?a
?a  http://dbpedia.org/ontology/stateOfOrigin  ?b   => ?a  http://dbpedia.org/ontology/nationality  ?b	0.516363636	0.830409357	0.993006993	142	171	143	?a
?a  http://dbpedia.org/ontology/deathPlace  ?b   => ?a  http://dbpedia.org/ontology/nationality  ?b	0.072727273	0.015873016	0.206185567	20	1260	97	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/nationality  ?b	0.010909091	0.00108735	0.157894737	3	2759	19	?a
?a  http://dbpedia.org/ontology/birthPlace  ?b   => ?a  http://dbpedia.org/ontology/nationality  ?b	0.334545455	0.019059457	0.241469816	92	4827	381	?a
?b  http://dbpedia.org/ontology/previousWork  ?a   => ?a  http://dbpedia.org/ontology/related  ?b	0.017699115	0.181818182	0.4	2	11	5	?a
?b  http://dbpedia.org/ontology/related  ?a   => ?a  http://dbpedia.org/ontology/related  ?b	0.265486726	0.265486726	0.612244898	30	113	49	?a
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/related  ?b	0.026548673	0.00108735	0.214285714	3	2759	14	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/related  ?b	0.044247788	0.001812251	0.178571429	5	2759	28	?a
?b  http://dbpedia.org/ontology/relation  ?a   => ?a  http://dbpedia.org/ontology/relative  ?b	0.026490066	0.285714286	1	4	14	4	?b
?a  http://dbpedia.org/ontology/spouse  ?b   => ?a  http://dbpedia.org/ontology/relative  ?b	0.026490066	0.011049724	0.173913043	4	362	23	?b
?b  http://dbpedia.org/ontology/relative  ?a   => ?a  http://dbpedia.org/ontology/relative  ?b	0.291390728	0.291390728	0.61971831	44	151	71	?b
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/relative  ?b	0.013245033	0.0007249	0.105263158	2	2759	19	?b
?b  http://dbpedia.org/ontology/award  ?a   => ?a  http://dbpedia.org/ontology/relative  ?b	0.013245033	0.005633803	0.25	2	355	8	?b
?b  http://dbpedia.org/ontology/parent  ?a   => ?a  http://dbpedia.org/ontology/relative  ?b	0.026490066	0.051282051	0.235294118	4	78	17	?b
?b  http://dbpedia.org/ontology/spouse  ?a   => ?a  http://dbpedia.org/ontology/relative  ?b	0.026490066	0.011049724	0.148148148	4	362	27	?b
?a  http://dbpedia.org/ontology/award  ?b   => ?a  http://dbpedia.org/ontology/relative  ?b	0.039735099	0.016901408	0.4	6	355	15	?b
?a  http://dbpedia.org/ontology/ethnicity  ?b   => ?a  http://dbpedia.org/ontology/relative  ?b	0.01986755	0.0625	0.1875	3	48	16	?b
?a  http://dbpedia.org/ontology/parent  ?b   => ?a  http://dbpedia.org/ontology/relative  ?b	0.01986755	0.038461538	0.2	3	78	15	?b
?a  http://dbpedia.org/ontology/executiveProducer  ?b   => ?a  http://dbpedia.org/ontology/distributor  ?b	0.010791367	0.089108911	0.140625	18	202	128	?a
?a  http://dbpedia.org/ontology/company  ?b   => ?a  http://dbpedia.org/ontology/distributor  ?b	0.048561151	0.50625	0.794117647	81	160	102	?a
?a  http://dbpedia.org/ontology/writer  ?b   => ?a  http://dbpedia.org/ontology/distributor  ?b	0.060551559	0.127044025	0.165845649	101	795	609	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/format  ?b	0.018404908	0.00108735	0.157894737	3	2759	19	?a
?a  http://dbpedia.org/ontology/network  ?b   => ?a  http://dbpedia.org/ontology/format  ?b	0.582822086	0.439814815	0.811965812	95	216	117	?a
?a  http://dbpedia.org/ontology/channel  ?b   => ?a  http://dbpedia.org/ontology/format  ?b	0.171779141	0.538461538	0.8	28	52	35	?a
?b  http://dbpedia.org/ontology/stylisticOrigin  ?a   => ?a  http://dbpedia.org/ontology/derivative  ?b	0.483679525	0.150925926	0.2721202	163	1080	599	?b
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/derivative  ?b	0.020771513	0.002537151	0.155555556	7	2759	45	?b
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/derivative  ?b	0.017804154	0.002174701	0.115384615	6	2759	52	?b
?b  http://dbpedia.org/ontology/musicSubgenre  ?a   => ?a  http://dbpedia.org/ontology/stylisticOrigin  ?b	0.069444444	0.382653061	0.416666667	75	196	180	?a
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/stylisticOrigin  ?b	0.014814815	0.005799203	0.213333333	16	2759	75	?a
?b  http://dbpedia.org/ontology/musicFusionGenre  ?a   => ?a  http://dbpedia.org/ontology/stylisticOrigin  ?b	0.10462963	0.484978541	0.509009009	113	233	222	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/stylisticOrigin  ?b	0.010185185	0.003986952	0.144736842	11	2759	76	?a
?b  http://dbpedia.org/ontology/derivative  ?a   => ?a  http://dbpedia.org/ontology/stylisticOrigin  ?b	0.150925926	0.483679525	0.512578616	163	337	318	?a
?a  http://dbpedia.org/ontology/composer  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.028301887	0.038461538	1	3	78	3	?b
?a  http://dbpedia.org/ontology/creator  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.056603774	0.041958042	0.857142857	6	143	7	?b
?b  http://dbpedia.org/ontology/voice  ?a   => ?a  http://dbpedia.org/ontology/voice  ?b	0.028301887	0.028301887	0.333333333	3	106	9	?b
?a  http://dbpedia.org/ontology/distributor  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.028301887	0.001798561	0.6	3	1668	5	?b
?a  http://dbpedia.org/ontology/executiveProducer  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.028301887	0.014851485	0.75	3	202	4	?b
?a  http://dbpedia.org/ontology/director  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.018867925	0.001970443	0.5	2	1015	4	?b
?a  http://dbpedia.org/ontology/producer  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.018867925	0.001545595	0.2	2	1294	10	?b
?b  http://dbpedia.org/ontology/knownFor  ?a   => ?a  http://dbpedia.org/ontology/voice  ?b	0.028301887	0.024193548	0.5	3	124	6	?b
?a  http://dbpedia.org/ontology/company  ?b   => ?a  http://dbpedia.org/ontology/voice  ?b	0.018867925	0.0125	0.666666667	2	160	3	?b
?b  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?a   => ?a  http://dbpedia.org/ontology/formerBandMember  ?b	0.015544041	0.00108735	0.15	3	2759	20	?b
?b  http://dbpedia.org/ontology/associatedBand  ?a   => ?a  http://dbpedia.org/ontology/formerBandMember  ?b	0.227979275	0.024760833	0.134969325	44	1777	326	?b
?b  http://dbpedia.org/ontology/associatedMusicalArtist  ?a   => ?a  http://dbpedia.org/ontology/formerBandMember  ?b	0.212435233	0.024743512	0.138047138	41	1657	297	?b
?b  http://dbpedia.org/ontology/formerBandMember  ?a   => ?a  http://dbpedia.org/ontology/formerBandMember  ?b	0.046632124	0.046632124	0.642857143	9	193	14	?b
?a  http://dbpedia.org/ontology/bandMember  ?b   => ?a  http://dbpedia.org/ontology/formerBandMember  ?b	0.025906736	0.038461538	0.108695652	5	130	46	?b
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/musicFusionGenre  ?b	0.038626609	0.003262051	0.264705882	9	2759	34	?b
?a  http://dbpedia.org/ontology/musicSubgenre  ?b   => ?a  http://dbpedia.org/ontology/musicFusionGenre  ?b	0.030042918	0.035714286	0.1	7	196	70	?b
?b  http://dbpedia.org/ontology/stylisticOrigin  ?a   => ?a  http://dbpedia.org/ontology/musicFusionGenre  ?b	0.484978541	0.10462963	0.245119306	113	1080	461	?b
?a  http://dbpedia.org/ontology/award  ?b   => ?a  http://dbpedia.org/ontology/education  ?b	0.015503876	0.005633803	0.181818182	2	355	11	?a
?b  http://dbpedia.org/ontology/district  ?a   => ?a  http://dbpedia.org/ontology/countySeat  ?b	0.01369863	0.2	0.666666667	2	10	3	?b
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/countySeat  ?b	0.136986301	0.007249003	0.215053763	20	2759	93	?b
?b  http://dbpedia.org/ontology/region  ?a   => ?a  http://dbpedia.org/ontology/countySeat  ?b	0.047945205	0.046666667	0.875	7	150	8	?b
?a  http://dbpedia.org/ontology/largestCity  ?b   => ?a  http://dbpedia.org/ontology/countySeat  ?b	0.643835616	0.435185185	0.839285714	94	216	112	?b
?b  http://dbpedia.org/ontology/type  ?a   => ?a  http://dbpedia.org/ontology/countySeat  ?b	0.465753425	0.043842682	0.764044944	68	1551	89	?b
?b  http://dbpedia.org/ontology/isPartOf  ?a   => ?a  http://dbpedia.org/ontology/countySeat  ?b	0.684931507	0.076745971	0.448430493	100	1303	223	?b
?b  http://dbpedia.org/ontology/award  ?a   => ?a  http://dbpedia.org/ontology/cinematography  ?b	0.020477816	0.050704225	0.327272727	18	355	55	?a
?a  http://dbpedia.org/ontology/musicComposer  ?b   => ?a  http://dbpedia.org/ontology/cinematography  ?b	0.417519909	0.316925734	0.60461285	367	1158	607	?a
?a  http://dbpedia.org/ontology/editing  ?b   => ?a  http://dbpedia.org/ontology/cinematography  ?b	0.408418658	0.504922644	0.810383747	359	711	443	?a
?a  http://www.w3.org/2000/01/rdf-schema%23seeAlso  ?b   => ?a  http://dbpedia.org/ontology/state  ?b	0.063829787	0.016310257	0.405405405	45	2759	111	?a
?a  http://dbpedia.org/ontology/campus  ?b   => ?a  http://dbpedia.org/ontology/state  ?b	0.164539007	0.393220339	0.674418605	116	295	172	?a
?a  http://www.w3.org/2002/07/owl%23differentFrom  ?b   => ?a  http://dbpedia.org/ontology/state  ?b	0.043971631	0.110714286	0.442857143	31	280	70	?a
?a  http://dbpedia.org/ontology/athletics  ?b   => ?a  http://dbpedia.org/ontology/state  ?b	0.214184397	0.580769231	0.78238342	151	260	193	?a
?a  http://dbpedia.org/ontology/affiliation  ?b   => ?a  http://dbpedia.org/ontology/state  ?b	0.15177305	0.242081448	0.449579832	107	442	238	?a
?a  http://dbpedia.org/ontology/hometown  ?b   => ?a  http://dbpedia.org/ontology/stateOfOrigin  ?b	0.011695906	0.002587322	0.111111111	2	773	18	?a
?a  http://dbpedia.org/ontology/residence  ?b   => ?a  http://dbpedia.org/ontology/stateOfOrigin  ?b	0.035087719	0.011320755	0.113207547	6	530	53	?a
?a  http://dbpedia.org/ontology/birthPlace  ?b   => ?a  http://dbpedia.org/ontology/stateOfOrigin  ?b	0.34502924	0.012222913	0.238866397	59	4827	247	?a
?a  http://dbpedia.org/ontology/deathPlace  ?b   => ?a  http://dbpedia.org/ontology/stateOfOrigin  ?b	0.064327485	0.008730159	0.229166667	11	1260	48	?a
?a  http://dbpedia.org/ontology/nationality  ?b   => ?a  http://dbpedia.org/ontology/stateOfOrigin  ?b	0.830409357	0.516363636	0.979310345	142	275	145	?a
?b  http://dbpedia.org/ontology/product  ?a   => ?a  http://dbpedia.org/ontology/product  ?b	0.048192771	0.048192771	1	8	166	8	?a
?a  http://dbpedia.org/ontology/industry  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.120481928	0.070175439	0.235294118	20	285	85	?a
?a  http://dbpedia.org/ontology/location  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.030120482	0.007142857	0.113636364	5	700	44	?a
?a  http://dbpedia.org/ontology/parentCompany  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.060240964	0.041493776	0.243902439	10	241	41	?a
?a  http://dbpedia.org/ontology/owner  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.036144578	0.06741573	0.24	6	89	25	?a
?a  http://dbpedia.org/ontology/division  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.024096386	0.105263158	0.235294118	4	38	17	?a
?a  http://dbpedia.org/ontology/owningCompany  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.030120482	0.039370079	0.227272727	5	127	22	?a
?a  http://dbpedia.org/ontology/subsidiary  ?b   => ?a  http://dbpedia.org/ontology/product  ?b	0.012048193	0.034482759	0.133333333	2	58	15	?a
?b  http://dbpedia.org/ontology/cinematography  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.064516129	0.009101251	0.307692308	8	879	26	?b
?b  http://dbpedia.org/ontology/director  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.064516129	0.007881773	0.19047619	8	1015	42	?b
?b  http://dbpedia.org/ontology/writer  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.056451613	0.008805031	0.25	7	795	28	?b
?b  http://dbpedia.org/ontology/executiveProducer  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.048387097	0.02970297	0.176470588	6	202	34	?b
?b  http://dbpedia.org/ontology/producer  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.040322581	0.003863988	0.11627907	5	1294	43	?b
?b  http://dbpedia.org/ontology/voice  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.024193548	0.028301887	0.3	3	106	10	?b
?b  http://dbpedia.org/ontology/editing  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.016129032	0.00281294	0.105263158	2	711	19	?b
?a  http://dbpedia.org/ontology/award  ?b   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.016129032	0.005633803	0.4	2	355	5	?b
?b  http://dbpedia.org/ontology/creator  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.032258065	0.027972028	0.166666667	4	143	24	?b
?b  http://dbpedia.org/ontology/presenter  ?a   => ?a  http://dbpedia.org/ontology/knownFor  ?b	0.016129032	0.017241379	0.181818182	2	116	11	?b
?a  http://dbpedia.org/ontology/ethnicGroup  ?b   => ?a  http://dbpedia.org/ontology/language  ?b	0.036392405	0.216981132	0.315068493	23	106	73	?a
?a  http://dbpedia.org/ontology/regionalLanguage  ?b   => ?a  http://dbpedia.org/ontology/language  ?b	0.026898734	0.85	0.894736842	17	20	19	?a
